0	50	33	17	40	43	37	37	3	22	35	38	35	38
50	0	42	33	13	24	41	29	50	33	15	51	15	51
33	42	0	27	28	52	4	13	36	39	35	9	35	9
17	33	27	0	23	30	29	24	18	12	18	35	18	35
40	13	28	23	0	29	28	16	41	28	12	38	12	38
43	24	52	30	29	0	53	43	42	21	18	62	18	62
37	41	4	29	28	53	0	12	39	41	35	10	35	10
37	29	13	24	16	43	12	0	39	34	25	22	25	22
3	50	36	18	41	42	39	39	0	21	35	41	35	41
22	33	39	12	28	21	41	34	21	0	18	47	18	47
35	15	35	18	12	18	35	25	35	18	0	9999999	0	999999
38	51	9	35	38	62	10	22	41	47	9999999	0	9999999	0
35	15	35	18	12	18	35	25	35	18	0	9999999	0	9999999
38	51	9	35	38	62	10	22	41	47	9999999	0	9999999	0
