0	49659	33377	17000	40000	43105	36674	36715	3162	22091	35114	38118
49659	0	41761	32696	13342	24083	40853	29155	50120	32527	15000	50922
33377	41761	0	26926	28460	52345	3606	13038	36222	38910	35000	9434
17000	32696	26926	0	23345	30083	29120	24187	17804	12207	18439	34986
40000	13342	28460	23345	0	29155	27731	16125	41110	27857	12042	37696
43105	24083	52345	30083	29155	0	53075	43012	42000	21024	18028	61620
36674	40853	3606	29120	27731	53075	0	11705	39459	40853	35384	10198
36715	29155	13038	24187	16125	43012	11705	0	38910	34234	25000	21840
3162	50120	36222	17804	41110	42000	39459	38910	0	21024	35341	41195
22091	32527	38910	12207	27857	21024	40853	34234	21024	0	17804	47170
35114	15000	35000	18439	12042	18028	35384	25000	35341	17804	0	9999999
38118	50922	9434	34986	37696	61620	10198	21840	41195	47170	9999999	0
